# Intents:
# - Weather
# - Greeting
# - Goodbye
# - Information Request
# - Confirmation
# - Clarification
# - Opinion
# - Chit-Chat
# - Request of action
# - Time and date
# - Thanks
# - Apology

sentence,intent

# Weather
"What's the weather like today?",weather
"It looks like it might rain later.",weather
"Do you think it will snow tomorrow?",weather
"The forecast says it will be sunny all week.",weather
"I love the sound of rain on the roof.",weather
"It's so hot outside today!",weather
"The wind is really strong today.",weather
"Is it going to be cloudy this afternoon?",weather
"I heard there's a storm coming.",weather
"The temperature dropped significantly overnight.",weather
"It's perfect weather for a picnic.",weather
"The humidity is making it feel warmer.",weather
"The sky is so clear tonight, you can see all the stars.",weather
"The weather has been unpredictable lately.",weather
"I hope the weather is nice for the weekend.",weather
"Is it cold enough to wear a jacket?",weather
"The weather app says it will rain all day.",weather
"The sunrise this morning was beautiful.",weather
"The weather seems to be getting warmer.",weather
"It's too windy to go outside today.",weather
"Did you see the lightning last night?",weather
"It feels like it's going to snow.",weather
"The fog is really thick this morning.",weather
"We're expecting a heatwave next week.",weather
"The air feels crisp and cool today.",weather
"There's a chance of thunderstorms in the afternoon.",weather
"I can't believe how much it rained yesterday.",weather
"The sunset was so colorful today.",weather
"The weather is so gloomy, isn't it?",weather
"The snow is starting to melt.",weather
"It was freezing this morning!",weather
"The weather can change so quickly here.",weather
"The air pressure is dropping; a storm might be coming.",weather
"It's been so dry lately; we really need rain.",weather
"The clouds are rolling in fast.",weather
"Can you believe how hot it is in the middle of winter?",weather
"The morning dew made everything sparkle.",weather
"We should check the weather before we go hiking.",weather
"It hasn't rained this much in years.",weather
"The heat index is dangerously high today.",weather
"The rain cooled things off nicely.",weather
"I love the fresh smell after a rainstorm.",weather
"The wind chill makes it feel much colder.",weather
"There's a lovely breeze today.",weather
"I think it might hail later.",weather
"The rain stopped just in time for the parade.",weather
"The weather is perfect for a beach day.",weather
"The sky looks ominous; we should head inside.",weather
"It's surprisingly warm for this time of year.",weather
"The clouds are starting to break up.",weather

# Greeting
"Hello!",greeting
"Hi there!",greeting
"Good morning!",greeting
"Good afternoon!",greeting
"Good evening!",greeting
"Hey!",greeting
"Howdy!",greeting
"Hi!",greeting
"Greetings!",greeting
"Hey, how's it going?",greeting
"Hi, nice to meet you!",greeting
"Hello, how are you?",greeting
"What's up?",greeting
"Hey, how have you been?",greeting
"Hi, how's everything?",greeting
"Good to see you!",greeting
"Hi there, how's it going?",greeting
"Hey, what's new?",greeting
"Long time no see!",greeting
"Hello, what's going on?",greeting
"Hi, how are things?",greeting
"Hey, how are you doing?",greeting
"Good day!",greeting
